#ps_count monom_count_mean monom_count_stdev make_ps_mean make_ps_stdev reduce_ps_mean reduce_ps_stdev prepare_ps_mean prepare_ps_stdev make_gb_mean make_gb_stdev make_variety_mean make_variety_stdev calculate_keys_mean calculate_keys_stdev time_all_mean time_all_stdev memory_mean memory_stedv
#SR(n,2,2,4) - 16bit klic:
#SR(1,2,2,4)
8 6.7 1.16 1 0.0 0.0 0 1.0 0.0 0 0 0 0.0 0 0.0 1.0 0.0 33 0.0
12 4.2 0.42 1 0.0 0.33 0 1.33 0.0 0 0 0 0.0 0 0.0 1.33 0.0 33 0.0
16 3.5 0.71 1 0.0 0.7 0 1.7 0.11 0 0 0 0.0 0 0.0 1.7 0.11 33 0.0
32 2.2 0.42 3 0.0 4.1 0 7.1 0.32 0 0 0 0.0 0 0.0 7.1 0.32 33 0.0
48 2 0.0 4 0.0 10.17 0 14.17 0.97 0 0 0 0.0 0 0.0 14.17 0.97 33 0.0
64 1.9 0.32 6 0.0 18.73 0 24.73 1.63 0 0 0 0.0 0 0.0 24.73 1.63 33 0.0
96 2 0.0 8.1 0.32 45.3 0 53.4 3.43 0 0 0.1 0.32 0.1 0.32 53.5 3.55 33 0.0
128 2 0.0 12 0.0 75.0 0 87.0 9.01 0 0 0 0.0 0 0.0 87.0 9.01 33 0.0
256 1.9 0.32 23 0.0 327.63 0 350.63 24.09 0 0 0.3 0.48 0.3 0.48 350.93 24.32 33 0.0
384 2 0.0 35.1 0.32 743.13 0 778.23 76.38 0 0 1 0.0 1 0.0 779.23 76.38 33 0.0
512 1.9 0.32 47.4 0.52 1406.33 0 1453.73 212.73 0 0 1.1 0.32 1.1 0.32 1454.83 212.92 33 0.0
